INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
B-n44-k7.vrp        GRASP-1000-1   1342.00        91.325         44        100       47.634763476347636  
B-n44-k7.vrp        GRASP-1000-0.125946.00         3570.573       44        100       4.07040704070407    
B-n44-k7.vrp        GRASP-1000-0.5 1044.00        3770.011       44        100       14.85148514851485   
B-n44-k7.vrp        GRASP-1000-0.751201.00        5229.005       44        100       32.123212321232124  
B-n44-k7.vrp        GRASP-1000-0.25950.00         5237.339       44        100       4.51045104510451    
B-n44-k7.vrp        GRASP-1000-0.5 1030.00        154.367        44        100       13.31133113311331   
B-n44-k7.vrp        GRASP-1000-0.125958.00         252.731        44        100       5.39053905390539    
B-n44-k7.vrp        GRASP-1000-0.751156.00        231.653        44        100       27.17271727172717   
B-n44-k7.vrp        GRASP-1000-1   1379.00        242.451        44        100       51.7051705170517    
B-n44-k7.vrp        GRASP-1000-0.25956.00         275.991        44        100       5.17051705170517    
B-n44-k7.vrp        GRASP-1000-0.751194.00        149.061        44        100       31.353135313531354  
B-n44-k7.vrp        GRASP-1000-0.25957.00         195.233        44        100       5.2805280528052805  
B-n44-k7.vrp        GRASP-1000-0.125953.00         210.584        44        100       4.84048404840484    
B-n44-k7.vrp        GRASP-1000-0.125950.00         228.672        44        100       4.51045104510451    
B-n44-k7.vrp        GRASP-1000-0.5 1035.00        293.133        44        100       13.861386138613863  
B-n44-k7.vrp        GRASP-1000-0.25954.00         306.611        44        100       4.9504950495049505  
B-n44-k7.vrp        GRASP-1000-0.751163.00        320.096        44        100       27.94279427942794   
B-n44-k7.vrp        GRASP-1000-0.25947.00         111.791        44        100       4.180418041804181   
B-n44-k7.vrp        GRASP-1000-0.125956.00         130.376        44        100       5.17051705170517    
B-n44-k7.vrp        GRASP-1000-0.125946.00         123.423        44        100       4.07040704070407    
B-n44-k7.vrp        GRASP-1000-0.25955.00         145.294        44        100       5.060506050605061   
