INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n20-k2.vrp        GRASP-1000-0.125216.00         19.590         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.334         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         19.250         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         21.324         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         25.547         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.649         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         19.788         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         19.743         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.605         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.052         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.945         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.566         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         21.151         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         22.723         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         21.040         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.555         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.597         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         19.887         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         20.196         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.125216.00         22.610         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.25216.00         23.185         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.25216.00         22.825         20        160       0.0                 
P-n20-k2.vrp        GRASP-1000-0.25217.00         23.618         20        160       0.4629629629629629  
P-n20-k2.vrp        GRASP-1000-0.25217.00         23.183         20        160       0.4629629629629629  
